insert_i,recall
678,0.860000
679,0.880000
680,0.880000
681,0.920000
682,0.840000
683,0.870000
684,0.870000
685,0.840000
686,0.850000
687,0.780000
688,0.820000
689,0.930000
690,0.900000
691,0.790000
692,0.860000
693,0.770000
694,0.900000
695,0.870000
696,0.820000
697,0.850000
698,0.840000
699,0.860000
700,0.810000
701,0.800000
702,0.920000
703,0.770000
704,0.910000
705,0.890000
706,0.890000
707,0.850000
708,0.920000
709,0.830000
710,0.800000
711,0.870000
712,0.840000
713,0.900000
714,0.880000
715,0.900000
716,0.910000
717,0.910000
718,0.850000
719,0.830000
720,0.890000
721,0.820000
722,0.850000
723,0.820000
724,0.830000
725,0.800000
726,0.840000
727,0.910000
728,0.850000
729,0.840000
730,0.770000
731,0.780000
732,0.930000
733,0.840000
734,0.790000
735,0.850000
736,0.880000
737,0.860000
738,0.800000
739,0.770000
740,0.870000
741,0.880000
742,0.860000
743,0.880000
744,0.830000
745,0.800000
746,0.770000
747,0.810000
748,0.760000
749,0.810000
750,0.810000
751,0.850000
752,0.880000
753,0.740000
754,0.900000
755,0.780000
756,0.790000
757,0.880000
758,0.750000
759,0.860000
760,0.860000
761,0.810000
762,0.910000
763,0.860000
764,0.890000
765,0.770000
766,0.880000
767,0.910000
768,0.750000
769,0.790000
770,0.850000
771,0.850000
772,0.870000
773,0.930000
774,0.730000
775,0.810000
776,0.860000
777,0.760000
778,0.860000
779,0.850000
780,0.770000
781,0.860000
782,0.840000
783,0.900000
784,0.880000
785,0.860000
786,0.850000
787,0.820000
788,0.840000
789,0.820000
790,0.870000
791,0.740000
792,0.870000
793,0.880000
794,0.870000
795,0.820000
796,0.850000
797,0.790000
798,0.830000
799,0.860000
800,0.820000
801,0.820000
802,0.820000
803,0.880000
804,0.810000
805,0.770000
806,0.850000
807,0.830000
808,0.710000
809,0.890000
810,0.870000
811,0.930000
812,0.880000
813,0.840000
814,0.790000
815,0.890000
816,0.820000
817,0.900000
818,0.940000
819,0.900000
820,0.870000
821,0.880000
822,0.820000
823,0.880000
824,0.800000
825,0.850000
826,0.850000
827,0.830000
828,0.840000
829,0.840000
830,0.900000
831,0.870000
832,0.870000
833,0.890000
834,0.800000
835,0.830000
836,0.840000
837,0.820000
838,0.910000
839,0.790000
840,0.860000
841,0.880000
842,0.870000
843,0.900000
844,0.820000
845,0.730000
846,0.900000
847,0.830000
848,0.830000
849,0.890000
850,0.890000
851,0.880000
852,0.920000
853,0.790000
854,0.760000
855,0.760000
856,0.790000
857,0.760000
858,0.820000
859,0.780000
860,0.760000
861,0.730000
862,0.870000
863,0.800000
864,0.760000
865,0.870000
866,0.810000
867,0.830000
868,0.810000
869,0.880000
870,0.870000
871,0.770000
872,0.780000
873,0.920000
874,0.840000
875,0.800000
876,0.840000
877,0.860000
878,0.830000
879,0.880000
880,0.930000
881,0.780000
882,0.860000
883,0.860000
884,0.820000
885,0.770000
886,0.820000
887,0.900000
888,0.850000
889,0.890000
890,0.900000
891,0.760000
892,0.880000
893,0.810000
894,0.890000
895,0.800000
896,0.880000
897,0.790000
898,0.860000
899,0.840000
900,0.850000
901,0.910000
902,0.780000
903,0.900000
904,0.860000
905,0.910000
906,0.890000
907,0.840000
908,0.900000
909,0.790000
910,0.880000
911,0.860000
912,0.800000
913,0.840000
914,0.860000
915,0.840000
916,0.750000
917,0.820000
918,0.850000
919,0.880000
920,0.800000
921,0.840000
922,0.750000
923,0.810000
924,0.770000
925,0.830000
926,0.900000
927,0.910000
928,0.900000
929,0.840000
930,0.910000
931,0.800000
932,0.860000
933,0.770000
934,0.830000
935,0.730000
936,0.880000
937,0.810000
938,0.720000
939,0.870000
940,0.780000
941,0.800000
942,0.880000
943,0.780000
944,0.840000
945,0.890000
946,0.880000
947,0.740000
948,0.800000
949,0.750000
950,0.890000
951,0.830000
952,0.890000
953,0.910000
954,0.860000
955,0.730000
956,0.740000
957,0.890000
958,0.870000
959,0.850000
960,0.860000
961,0.870000
962,0.900000
963,0.830000
964,0.810000
965,0.800000
966,0.850000
967,0.880000
968,0.820000
969,0.710000
970,0.880000
971,0.870000
972,0.850000
973,0.820000
974,0.830000
975,0.850000
976,0.770000
977,0.880000
978,0.870000
979,0.860000
980,0.920000
981,0.690000
982,0.860000
983,0.820000
984,0.830000
985,0.820000
986,0.750000
987,0.690000
988,0.860000
989,0.870000
990,0.870000
991,0.760000
992,0.910000
993,0.860000
994,0.790000
995,0.930000
996,0.840000
997,0.870000
998,0.900000
999,0.790000
1000,0.890000
1001,0.840000
1002,0.920000
1003,0.770000
1004,0.840000
1005,0.840000
1006,0.860000
1007,0.790000
1008,0.850000
1009,0.850000
1010,0.850000
1011,0.860000
1012,0.750000
1013,0.780000
1014,0.880000
1015,0.730000
1016,0.780000
1017,0.830000
1018,0.820000
1019,0.840000
1020,0.820000
1021,0.920000
1022,0.770000
1023,0.830000
1024,0.830000
1025,0.780000
1026,0.820000
1027,0.860000
1028,0.910000
1029,0.880000
1030,0.840000
1031,0.910000
1032,0.820000
1033,0.780000
1034,0.780000
1035,0.810000
1036,0.780000
1037,0.870000
1038,0.720000
1039,0.850000
1040,0.680000
1041,0.820000
1042,0.910000
1043,0.870000
1044,0.860000
1045,0.800000
1046,0.850000
1047,0.800000
1048,0.800000
1049,0.840000
1050,0.750000
1051,0.840000
1052,0.770000
1053,0.830000
1054,0.810000
1055,0.810000
1056,0.910000
1057,0.810000
1058,0.890000
1059,0.820000
1060,0.800000
1061,0.700000
1062,0.850000
1063,0.800000
1064,0.910000
1065,0.880000
1066,0.830000
1067,0.820000
1068,0.820000
1069,0.840000
1070,0.840000
1071,0.750000
1072,0.780000
1073,0.870000
1074,0.840000
1075,0.840000
1076,0.830000
1077,0.830000
1078,0.800000
1079,0.750000
1080,0.880000
1081,0.820000
1082,0.850000
1083,0.850000
1084,0.850000
1085,0.880000
1086,0.890000
1087,0.770000
1088,0.830000
1089,0.880000
1090,0.680000
1091,0.830000
1092,0.870000
1093,0.910000
1094,0.890000
1095,0.820000
1096,0.790000
1097,0.750000
1098,0.810000
1099,0.900000
1100,0.890000
1101,0.770000
1102,0.780000
1103,0.780000
1104,0.880000
1105,0.830000
1106,0.870000
1107,0.720000
1108,0.840000
1109,0.850000
1110,0.840000
1111,0.830000
1112,0.770000
1113,0.850000
1114,0.790000
1115,0.840000
1116,0.730000
1117,0.820000
1118,0.890000
1119,0.820000
1120,0.760000
1121,0.720000
1122,0.910000
1123,0.780000
1124,0.790000
1125,0.820000
1126,0.840000
1127,0.900000
1128,0.830000
1129,0.890000
1130,0.770000
1131,0.890000
1132,0.850000
1133,0.880000
1134,0.820000
1135,0.870000
1136,0.920000
1137,0.790000
1138,0.830000
1139,0.830000
1140,0.820000
1141,0.850000
1142,0.830000
1143,0.830000
1144,0.860000
1145,0.880000
1146,0.840000
1147,0.830000
1148,0.770000
1149,0.830000
1150,0.870000
1151,0.730000
1152,0.840000
1153,0.780000
1154,0.860000
1155,0.820000
1156,0.770000
