worker_type,worker_id,completed_ops,target_ops,wall_seconds,avg_latency_seconds,p95_latency_seconds,max_latency_seconds
reader,55,10000,10000,187.610164,0.018756,0.069310,0.224773
reader,56,10000,10000,188.361138,0.018831,0.070243,0.261969
reader,57,10000,10000,190.067513,0.019001,0.069760,0.260234
reader,58,10000,10000,187.639852,0.018759,0.070968,0.239549
reader,59,10000,10000,188.081515,0.018803,0.070222,0.255165
reader,60,10000,10000,186.373838,0.018632,0.068888,0.281921
reader,61,10000,10000,186.003754,0.018595,0.069717,0.298246
reader,62,10000,10000,187.483713,0.018743,0.069796,0.404122
reader,63,10000,10000,182.403235,0.018235,0.067650,0.275042
reader,64,10000,10000,190.497451,0.019044,0.071936,0.260161
reader,65,10000,10000,188.301558,0.018825,0.070585,0.331755
reader,66,10000,10000,188.246260,0.018819,0.071097,0.288243
reader,67,10000,10000,189.579964,0.018948,0.072455,0.219998
reader,68,10000,10000,189.489694,0.018944,0.070599,0.288215
reader,69,10000,10000,189.504255,0.018945,0.070589,0.293095
reader,70,10000,10000,186.923961,0.018687,0.068728,0.266984
reader,71,10000,10000,188.711041,0.018865,0.070648,0.279033
reader,72,10000,10000,186.716463,0.018666,0.070132,0.221809
reader,73,10000,10000,189.850043,0.018980,0.072599,0.219887
reader,74,10000,10000,189.938736,0.018988,0.069900,0.297893
reader,75,10000,10000,186.615801,0.018656,0.069671,0.256179
reader,76,10000,10000,186.176217,0.018612,0.068757,0.246715
reader,77,10000,10000,189.274898,0.018922,0.071183,0.298515
reader,78,10000,10000,186.916150,0.018686,0.069402,0.243736
reader,79,10000,10000,191.416927,0.019136,0.071282,0.236900
reader,80,10000,10000,189.117008,0.018906,0.069742,0.227587
reader,81,10000,10000,187.743643,0.018769,0.068731,0.268536
reader,82,10000,10000,188.177576,0.018812,0.070218,0.317624
reader,83,10000,10000,190.148430,0.019004,0.070336,0.253819
reader,84,10000,10000,190.046032,0.018999,0.071205,0.258728
reader,85,10000,10000,187.767766,0.018771,0.069753,0.297623
reader,86,10000,10000,187.818701,0.018775,0.067947,0.249212
reader,87,10000,10000,189.550046,0.018950,0.070382,0.290997
reader,88,10000,10000,188.806302,0.018875,0.069758,0.278830
reader,89,10000,10000,188.996436,0.018894,0.070460,0.278757
reader,90,10000,10000,187.756579,0.018770,0.069000,0.280540
reader,91,10000,10000,189.718902,0.018967,0.069490,0.328238
reader,92,10000,10000,190.506169,0.019045,0.070904,0.290782
reader,93,10000,10000,187.598343,0.018754,0.069377,0.296297
reader,94,10000,10000,190.197965,0.019015,0.072278,0.236976
reader,95,10000,10000,187.706116,0.018765,0.069502,0.311444
reader,96,10000,10000,189.492753,0.018944,0.069924,0.275969
reader,97,10000,10000,188.467922,0.018842,0.070625,0.266274
reader,98,10000,10000,188.801206,0.018875,0.070966,0.231922
reader,99,10000,10000,190.418189,0.019036,0.070940,0.270392
writer,0,10000,10000,435.930865,0.043588,0.215977,0.964764
writer,1,10000,10000,436.964227,0.043691,0.213310,0.807991
writer,2,10000,10000,439.448204,0.043939,0.212178,1.015749
writer,3,10000,10000,437.117591,0.043706,0.214099,0.877412
writer,4,10000,10000,434.985246,0.043493,0.216640,1.020457
writer,5,10000,10000,439.579626,0.043952,0.215996,0.976277
writer,6,10000,10000,438.129052,0.043807,0.214808,0.919955
writer,7,10000,10000,439.907678,0.043985,0.217477,0.939452
writer,8,10000,10000,434.257175,0.043420,0.215948,0.861289
writer,9,10000,10000,435.344992,0.043529,0.216631,0.833882
writer,10,10000,10000,436.406990,0.043635,0.215601,0.796001
writer,11,10000,10000,438.996510,0.043894,0.214521,1.139594
writer,12,10000,10000,436.303674,0.043625,0.212224,0.893529
writer,13,10000,10000,433.484322,0.043343,0.218185,0.866543
writer,14,10000,10000,437.171487,0.043712,0.215428,0.685490
writer,15,10000,10000,436.269468,0.043622,0.215052,0.928608
writer,16,10000,10000,438.089970,0.043804,0.216911,0.898405
writer,17,10000,10000,437.958447,0.043790,0.213990,0.930853
writer,18,10000,10000,438.179381,0.043813,0.215571,0.776483
writer,19,10000,10000,439.466878,0.043941,0.215162,0.798046
writer,20,10000,10000,435.395821,0.043534,0.215802,0.921113
writer,21,10000,10000,439.547378,0.043949,0.212476,0.849286
writer,22,10000,10000,437.495169,0.043744,0.215796,0.818615
