insert_i,recall
1066,0.930000
1067,0.890000
1068,0.880000
1069,0.870000
1070,0.920000
1071,0.870000
1072,0.850000
1073,0.930000
1074,0.900000
1075,0.920000
1076,0.940000
1077,0.920000
1078,0.890000
1079,0.980000
1080,0.980000
1081,0.910000
1082,0.900000
1083,0.950000
1084,0.880000
1085,0.970000
1086,0.950000
1087,0.890000
1088,0.960000
1089,0.940000
1090,0.850000
1091,0.900000
1092,0.950000
1093,0.960000
1094,0.960000
1095,0.890000
1096,0.900000
1097,0.900000
1098,0.880000
1099,0.950000
1100,0.930000
1101,0.900000
1102,0.920000
1103,0.860000
1104,0.920000
1105,0.900000
1106,0.900000
1107,0.790000
1108,0.850000
1109,0.910000
1110,0.870000
1111,0.890000
1112,0.950000
1113,0.960000
1114,0.850000
1115,0.920000
1116,0.940000
1117,0.870000
1118,0.940000
1119,0.860000
1120,0.820000
1121,0.840000
1122,0.970000
1123,0.940000
1124,0.890000
1125,0.930000
1126,0.930000
1127,0.940000
1128,0.970000
1129,0.960000
1130,0.940000
1131,0.950000
1132,0.950000
1133,0.970000
1134,0.890000
1135,0.990000
1136,0.980000
1137,0.900000
1138,0.910000
1139,0.870000
1140,0.880000
1141,0.910000
1142,0.950000
1143,0.890000
1144,0.980000
1145,0.930000
1146,0.970000
1147,0.890000
1148,0.890000
1149,0.920000
1150,0.970000
1151,0.910000
1152,0.970000
1153,0.930000
1154,0.980000
1155,0.920000
1156,0.970000
1157,0.900000
1158,0.940000
1159,0.980000
1160,0.940000
1161,0.920000
1162,0.970000
1163,0.860000
1164,0.910000
1165,0.880000
1166,0.940000
1167,0.900000
1168,0.960000
1169,0.920000
1170,0.910000
1171,0.930000
1172,0.970000
1173,0.920000
1174,0.840000
1175,0.900000
1176,0.910000
1177,0.960000
1178,0.950000
1179,0.920000
1180,0.910000
1181,0.950000
1182,0.950000
1183,0.930000
1184,0.880000
1185,0.960000
1186,0.930000
1187,0.920000
1188,0.940000
1189,0.930000
1190,0.920000
1191,0.940000
1192,0.970000
1193,0.880000
1194,0.980000
1195,0.980000
1196,0.970000
1197,0.960000
1198,0.940000
1199,0.870000
1200,0.870000
1201,0.940000
1202,0.910000
1203,0.860000
1204,0.860000
1205,0.860000
1206,0.940000
1207,0.950000
1208,0.910000
1209,0.880000
1210,0.840000
1211,0.900000
1212,0.880000
1213,0.940000
1214,0.840000
1215,0.880000
1216,0.880000
1217,0.860000
1218,0.930000
1219,0.840000
1220,0.880000
1221,0.890000
1222,0.920000
1223,0.960000
1224,0.950000
1225,0.960000
1226,0.880000
1227,0.840000
1228,0.910000
1229,0.950000
1230,0.930000
1231,0.850000
1232,0.900000
1233,0.920000
1234,0.830000
1235,0.970000
1236,0.970000
1237,0.950000
1238,0.870000
1239,0.920000
1240,0.940000
1241,0.920000
1242,0.940000
1243,0.900000
1244,0.910000
1245,0.900000
1246,0.920000
1247,0.960000
1248,0.930000
1249,0.870000
1250,0.930000
1251,0.920000
1252,0.890000
1253,0.970000
1254,0.920000
1255,0.960000
1256,0.890000
1257,0.860000
1258,0.900000
1259,0.850000
1260,0.890000
1261,0.850000
1262,0.880000
1263,0.900000
1264,0.960000
1265,0.900000
1266,0.950000
1267,0.840000
1268,0.960000
1269,0.860000
1270,0.900000
1271,0.900000
1272,0.920000
1273,0.850000
1274,0.950000
1275,0.920000
1276,0.980000
1277,0.950000
1278,0.890000
1279,0.870000
1280,0.890000
1281,0.910000
1282,0.920000
1283,0.930000
1284,0.910000
1285,0.910000
1286,0.900000
1287,0.840000
1288,0.900000
1289,0.900000
1290,0.940000
1291,0.930000
1292,0.960000
1293,0.930000
1294,0.930000
1295,0.940000
1296,0.980000
1297,0.900000
1298,0.920000
1299,0.950000
1300,0.870000
1301,0.900000
1302,0.950000
1303,0.900000
1304,0.950000
1305,0.910000
1306,0.870000
1307,0.890000
1308,0.940000
1309,0.880000
1310,0.850000
1311,0.970000
1312,0.900000
1313,0.950000
1314,0.960000
1315,0.980000
1316,0.930000
1317,0.840000
1318,0.940000
1319,0.900000
1320,0.970000
1321,0.910000
1322,0.850000
1323,0.880000
1324,0.880000
1325,0.870000
1326,0.990000
1327,0.840000
1328,0.870000
1329,0.920000
1330,0.840000
1331,0.930000
1332,0.940000
1333,0.990000
1334,0.900000
1335,0.930000
1336,0.870000
1337,0.930000
1338,0.830000
1339,0.870000
1340,0.850000
1341,0.900000
1342,0.950000
1343,0.930000
1344,0.930000
1345,0.880000
1346,0.900000
1347,0.970000
1348,0.930000
1349,0.850000
1350,0.920000
1351,0.910000
1352,0.900000
1353,0.920000
1354,0.910000
1355,0.890000
1356,0.910000
1357,0.880000
1358,0.910000
1359,0.880000
1360,0.980000
1361,0.960000
1362,0.930000
1363,0.940000
1364,0.950000
1365,0.980000
1366,0.840000
1367,0.920000
1368,0.940000
1369,0.930000
1370,0.920000
1371,0.880000
1372,0.960000
1373,0.900000
1374,0.970000
1375,0.850000
1376,0.940000
1377,0.880000
1378,0.910000
1379,0.940000
1380,0.910000
1381,0.920000
1382,0.930000
1383,0.890000
1384,0.880000
1385,0.900000
1386,0.870000
1387,0.910000
1388,0.970000
1389,0.950000
1390,0.890000
1391,0.910000
1392,0.920000
1393,0.900000
1394,0.960000
1395,0.910000
1396,0.930000
1397,0.950000
1398,0.950000
1399,0.970000
1400,0.950000
1401,0.940000
1402,0.950000
1403,0.820000
1404,0.910000
1405,0.930000
1406,0.930000
1407,0.900000
1408,0.930000
1409,0.920000
1410,0.930000
1411,0.950000
1412,0.990000
1413,0.960000
1414,0.940000
1415,0.920000
1416,0.990000
1417,0.910000
1418,0.860000
1419,0.950000
1420,0.880000
1421,0.860000
1422,0.860000
1423,0.840000
1424,0.970000
1425,0.950000
1426,0.910000
1427,0.870000
1428,0.900000
1429,0.990000
1430,0.890000
1431,0.920000
1432,0.900000
1433,0.850000
1434,0.870000
1435,0.950000
1436,0.920000
1437,0.860000
1438,0.890000
1439,0.870000
1440,0.880000
1441,0.950000
1442,0.920000
1443,0.950000
1444,0.960000
1445,0.940000
1446,0.910000
1447,0.870000
1448,0.990000
1449,0.990000
1450,0.930000
1451,0.950000
1452,0.940000
1453,0.920000
1454,0.880000
1455,0.980000
1456,0.950000
1457,0.900000
1458,0.920000
1459,0.970000
1460,0.900000
1461,0.940000
1462,0.910000
1463,0.900000
1464,0.960000
1465,0.970000
1466,0.890000
1467,0.940000
1468,0.910000
1469,0.940000
1470,0.940000
1471,0.880000
1472,0.940000
1473,0.880000
1474,0.980000
1475,0.880000
1476,0.930000
1477,0.930000
1478,0.970000
1479,0.890000
1480,0.850000
1481,0.910000
1482,0.930000
1483,0.890000
1484,0.980000
1485,0.930000
1486,0.930000
1487,0.850000
1488,0.950000
1489,0.950000
1490,0.950000
1491,0.930000
1492,0.910000
1493,0.940000
1494,0.910000
1495,0.930000
1496,0.870000
1497,0.970000
1498,0.860000
1499,0.930000
1500,0.950000
1501,0.940000
1502,0.920000
1503,0.950000
1504,0.880000
1505,0.880000
1506,0.950000
1507,0.900000
1508,0.850000
1509,0.840000
1510,0.950000
1511,0.910000
1512,0.910000
1513,0.950000
1514,0.860000
1515,0.930000
1516,0.940000
1517,0.870000
1518,0.950000
1519,0.920000
1520,0.950000
1521,0.940000
1522,0.920000
1523,0.910000
1524,0.830000
1525,0.960000
1526,0.940000
1527,0.880000
1528,0.940000
1529,0.870000
1530,0.870000
1531,0.940000
1532,0.900000
1533,0.960000
1534,0.850000
1535,0.940000
1536,0.940000
1537,0.940000
1538,0.870000
1539,0.950000
1540,0.930000
1541,0.940000
1542,0.880000
1543,0.890000
1544,0.910000
1545,0.920000
1546,0.980000
1547,0.940000
1548,0.880000
1549,0.880000
1550,0.860000
1551,0.910000
1552,0.950000
1553,0.920000
1554,0.820000
1555,0.980000
1556,0.940000
1557,0.950000
1558,0.830000
1559,0.940000
1560,0.950000
1561,0.980000
1562,0.980000
1563,0.890000
1564,0.950000
1565,0.990000
1566,0.900000
1567,0.930000
1568,0.940000
1569,0.940000
1570,0.990000
1571,0.940000
1572,0.930000
1573,0.880000
1574,0.860000
1575,0.930000
1576,0.930000
1577,0.970000
1578,0.960000
1579,0.930000
1580,0.870000
1581,0.940000
1582,0.960000
1583,0.970000
1584,0.930000
1585,0.880000
1586,0.950000
1587,0.870000
1588,0.950000
1589,0.950000
1590,0.900000
1591,0.950000
1592,0.990000
1593,0.950000
1594,0.950000
1595,0.930000
1596,0.990000
1597,0.860000
1598,0.990000
1599,0.930000
1600,0.930000
1601,0.950000
1602,0.930000
1603,0.930000
1604,0.940000
1605,0.970000
1606,0.870000
1607,0.940000
1608,0.880000
1609,0.930000
1610,0.930000
1611,0.900000
1612,0.920000
1613,0.860000
1614,0.960000
1615,0.890000
1616,0.940000
1617,0.940000
1618,0.900000
1619,0.880000
1620,0.940000
1621,0.870000
1622,0.890000
1623,0.910000
1624,0.880000
1625,0.860000
1626,0.970000
1627,0.870000
1628,0.950000
1629,0.880000
1630,0.880000
1631,0.860000
1632,0.880000
1633,0.930000
1634,0.950000
1635,0.890000
1636,0.940000
1637,0.930000
1638,0.930000
1639,0.890000
1640,1.000000
1641,0.970000
1642,0.960000
1643,0.880000
1644,0.950000
1645,0.900000
1646,0.920000
1647,0.900000
1648,0.960000
1649,0.930000
1650,0.850000
1651,0.920000
1652,0.970000
1653,0.940000
1654,0.880000
1655,0.950000
1656,0.930000
1657,0.980000
1658,1.000000
1659,0.900000
1660,0.900000
1661,0.920000
1662,0.920000
1663,0.920000
1664,0.960000
1665,0.950000
1666,0.850000
1667,0.930000
1668,0.850000
1669,0.950000
1670,0.860000
1671,0.940000
1672,0.880000
1673,0.940000
1674,0.920000
1675,0.950000
1676,0.850000
1677,0.910000
1678,0.910000
1679,0.940000
1680,0.840000
1681,1.000000
1682,0.890000
1683,0.890000
1684,0.960000
1685,0.940000
1686,0.870000
1687,0.930000
1688,0.890000
1689,0.900000
1690,0.860000
1691,0.950000
1692,0.870000
1693,0.950000
1694,0.940000
1695,0.900000
1696,0.870000
1697,0.930000
1698,0.920000
1699,0.920000
1700,0.900000
1701,0.910000
1702,0.960000
1703,0.870000
1704,1.000000
1705,0.890000
1706,0.930000
1707,0.860000
1708,0.960000
1709,0.930000
1710,0.920000
1711,0.890000
1712,0.880000
1713,0.870000
1714,0.900000
1715,0.900000
1716,0.920000
1717,0.980000
1718,0.980000
1719,0.870000
1720,0.910000
1721,0.920000
1722,0.900000
1723,0.950000
1724,0.930000
1725,0.870000
1726,0.970000
1727,0.940000
1728,0.880000
1729,0.950000
1730,0.900000
1731,0.860000
1732,0.910000
1733,0.900000
1734,0.890000
1735,0.940000
1736,0.910000
1737,0.880000
1738,0.930000
1739,0.960000
1740,0.890000
1741,0.960000
1742,0.940000
1743,0.890000
1744,0.920000
1745,0.910000
1746,0.840000
1747,0.930000
1748,0.960000
1749,0.930000
1750,0.840000
1751,0.870000
1752,0.940000
1753,0.960000
1754,0.900000
1755,0.900000
1756,0.970000
1757,0.980000
1758,0.860000
1759,0.880000
1760,0.960000
1761,0.870000
1762,0.950000
1763,0.910000
1764,0.960000
1765,0.840000
1766,0.980000
1767,0.810000
1768,0.940000
1769,0.940000
1770,0.930000
1771,0.870000
1772,0.850000
1773,0.970000
1774,0.910000
1775,0.880000
1776,0.950000
1777,0.940000
1778,0.940000
1779,0.930000
1780,0.930000
1781,0.890000
1782,0.940000
1783,0.930000
1784,0.860000
1785,0.970000
1786,0.970000
1787,0.960000
1788,0.930000
1789,0.960000
1790,0.900000
1791,0.890000
1792,0.920000
1793,0.890000
1794,0.950000
1795,0.950000
1796,0.880000
1797,0.920000
1798,0.980000
1799,0.950000
1800,0.960000
1801,0.920000
1802,0.940000
1803,0.990000
1804,0.930000
1805,0.900000
1806,0.850000
1807,0.900000
1808,0.930000
1809,0.980000
1810,0.960000
1811,0.950000
1812,0.950000
1813,0.910000
1814,0.880000
1815,0.890000
1816,0.920000
1817,0.880000
1818,0.840000
1819,0.970000
1820,0.920000
1821,0.940000
1822,0.960000
1823,0.950000
1824,0.930000
1825,0.890000
1826,0.940000
1827,0.880000
1828,0.960000
1829,0.900000
1830,0.950000
1831,0.930000
1832,0.940000
1833,0.920000
1834,0.950000
1835,0.940000
1836,0.890000
1837,0.910000
1838,0.930000
1839,0.950000
1840,0.860000
